,S/L,S/M,S/H,B/L,B/M,B/H,high_ret,low_ret,SMB,HML,MOM
1393,-0.03753483133562132,-0.015812913824046756,-0.023843251426206746,-0.0018495181522831508,-0.011248075183168787,-0.06878433316183884,0.07831755242658875,-0.07098467068532442,0.0015636433038053177,0.026621617550070555,0.14930222311191316
1394,-0.061773866757075996,0.0004958054915478443,-0.003477084986701708,0.000978405330023198,0.006815839752157549,-0.054114507583246284,0.07980931754618717,-0.052124001940248264,-0.006144961250388107,-0.0016019344285524047,0.13193331948643544
1395,-0.06305116909223854,0.016105145160970967,-0.015680759530946598,-0.015518705003628208,0.0026998547229723515,-0.06702160072430584,0.06904992312445134,-0.06284942407293463,0.005737889180915837,0.002066243079692845,0.13189934719738597
1396,-0.05166762160610161,0.008109804119473643,-0.0222741418371983,-0.013147265656433472,0.008144670435636048,-0.0566593070669084,0.06792512306953725,-0.054461818387670835,-0.001390019012040146,0.0070592808207858085,0.12238694145720809
1397,-0.07277146398911678,0.003228662474649535,-0.03335450363379597,-0.02870648940170441,0.002915308677225808,-0.06334804724505129,0.07099040143393619,-0.06360422420886802,-0.00458602572624444,-0.0023877012559869668,0.13459462564280422
1398,-0.06437032335390581,0.004230373026019941,-0.022202113203725723,-0.026265149536288432,0.012485137248413838,-0.04531730331466411,0.07758249003280042,-0.05240089485290876,-0.007748249309690966,-0.011558028185902208,0.12998338488570918
1399,-0.08703689228626708,0.01144846090346029,-0.022869085021853624,-0.033308204717565584,-0.0024684209858963,-0.06402896107698139,0.06117166108802821,-0.06835230519890073,0.00044935679192761174,-0.016723525452498826,0.12952396628692894
1400,-0.09411964908803391,0.014188360073684582,-0.003460582852524597,-0.014294923301916135,-0.02601234188602635,-0.06516126638087694,0.06801241922009704,-0.0741391805220195,0.007358886567315166,-0.019896361578274256,0.14215159974211655
1401,-0.1029899510953617,0.0016870112184943474,-0.0026416326111267496,-0.006600946721055845,-0.02919216896582719,-0.05961977821396772,0.05399117898888718,-0.07233305614936938,-0.0028438928623811185,-0.02366474349566154,0.12632423513825658
1402,-0.11240321919150188,0.00012708421917318453,0.022847135336603014,0.008706810478491814,-0.008502419844462605,-0.029054155124023144,0.050278703628861145,-0.04908723801323482,-0.020193078381910583,-0.048744694462794974,0.09936594164209597
1403,-0.10641788909342258,-0.008366996374755959,0.027119448963695832,0.00771718054729878,0.0002745889987882573,-0.015291016713181105,0.03839110297439163,-0.04866328928465899,-0.026788729779129546,-0.055264570398319265,0.08705439225905062
1404,-0.10895323196801601,-0.01146860195945381,0.014557436722424023,-0.007476553026535409,-0.01896779568910263,-0.025792219038325653,0.026028770642771513,-0.0562985111523948,-0.017875943150360705,-0.05259750133932489,0.08232728179516631
1405,-0.11023803798837845,-0.01646368100868767,-0.006532004311321145,0.0030924071995771596,-0.04431367949741224,-0.03925835440811044,0.006954218519844058,-0.0626997551951673,-0.01758469886748058,-0.03067763603468485,0.06965397371501135
1406,-0.11564966164820965,-0.032019743321476495,-0.039254460659659936,0.009446019754384494,-0.04488099569628373,-0.036367842980585936,0.011958774940954903,-0.08168668273759234,-0.03837368223562029,-0.015290669126789641,0.09364545767854725
1407,-0.12882921697360253,-0.024044635998928435,-0.03792931282758869,0.009958549978552408,-0.05339876172006076,-0.03516507722956317,0.017478620483466652,-0.08710119482347123,-0.037399292276349375,-0.022888138468949132,0.10457981530693788
1408,-0.093588406131522,-0.0440425701483429,-0.04854829479846318,-0.008648784433443656,-0.07504709303429756,-0.05251283585292833,0.0007738532473911146,-0.09951371600617079,-0.01665685258588618,-0.00058802995678707,0.1002875692535619
1409,-0.06571442700128315,-0.021989246612553928,-0.04679004640527702,-0.005044855538845329,-0.05194761931890187,-0.03347910367688127,0.004634525572505872,-0.08541922554116979,-0.014674047161495205,0.0047549337710149076,0.09005375111367567
1410,-0.02989990297522481,-0.02535147594881787,-0.04162355445480349,0.038956789455547806,-0.010591925253697825,0.004874378321663189,0.04331683557939054,-0.050889112901831256,-0.04337139196745311,0.022903031306731648,0.0942059484812218
1411,-0.020541443405580014,0.005507653539275923,-0.040155867375819006,0.04434282493808509,-0.00602550823122124,0.01591315574382522,0.04444249952575102,-0.04869700157152806,-0.03647337656427072,0.024022046582249434,0.09313950109727909
1412,-0.0529663044007753,0.02641674213992096,-0.03555073026644452,0.02676465796743741,-0.014696566529130114,0.0020666112660809874,0.04118528999519548,-0.052778642275860155,-0.02541166507722905,0.0036412362835128217,0.09396393227105564
1413,-0.019676351493569118,0.05218140119549824,-0.010435857827364049,0.031013527928455447,0.0017884267034738712,0.00965152881996557,0.05235485178707413,-0.03090166979660214,-0.006794763859109937,0.006060752721142404,0.08325652158367627
1414,-0.032368931684448835,0.05454505629847049,0.010963238732973772,0.03474548422951108,-0.004710706419030687,0.01628793287780383,0.05998935415177639,-0.02969397035084187,-0.004394449113762931,-0.01243730953285768,0.08968332450261826
1415,-0.025864406695380045,0.031261267829780455,0.0207004549185,0.020352324544677978,-0.013877808211751125,0.0069503392690544825,0.05411981509763672,-0.04307906962992218,0.004224153483639691,-0.016581438169128274,0.0971988847275589
1416,-0.036832956993433995,0.02566521365650706,0.007374318621554989,0.010345589765838633,-0.03402680757240559,-0.0010124944063466957,0.0434865799735175,-0.06353417771999582,0.006966762499180569,-0.016424595721401827,0.10702075769351332
1417,-0.034777417854175284,0.036532958012674824,0.02614437291921047,0.011593179099483108,-0.016512473438922287,-0.033411367714461494,0.057889350542624694,-0.058935823662687355,0.022076858377203565,-0.007958621979720576,0.11682517420531205
1418,-0.0266292343433408,0.04334240418882554,0.010269720524875467,0.031064270074275584,-0.040855770285374106,-0.014798598450767992,0.0562953619110793,-0.054553481521424155,0.017190996344075574,0.004481956828413655,0.11084884343250345
1419,-0.032302297600173925,0.029644925704173933,0.023638496032319573,0.01786799153406772,-0.051049561735833054,-0.02639725128229386,0.04549069647647735,-0.058671200269697105,0.026853315206792926,-0.005837775408065959,0.10416189674617446
1420,-0.06701639908475954,0.025603474660790163,0.018830893028837864,0.005861224385464124,-0.059324720488968134,-0.04038910291939922,0.03992540051881471,-0.07050532042066154,0.023756855875923907,-0.01979848240436703,0.11043072093947626
