#Date;Value 18:50 MSK
2020-04-13;73.6147
2020-04-10;73.8648
2020-04-09;73.6583
2020-04-08;75.4658
2020-04-07;75.4707
2020-04-06;76.2555
2020-04-03;77.181
2020-04-02;77.5609
2020-04-01;78.8904
2020-03-31;77.9078
2020-03-30;79.9714
2020-03-27;79.1763
2020-03-26;77.1263
2020-03-25;78.7058
2020-03-24;78.8428
2020-03-23;80.32
2020-03-20;79.4734
2020-03-19;79.4225
2020-03-18;79.9663
2020-03-17;74.9837
2020-03-16;73.8543
2020-03-13;73.5824
2020-03-12;74.5306
2020-03-11;72.3005
2020-03-10;71.9464
2020-03-06;68.103
2020-03-05;67.0272
2020-03-04;66.0801
2020-03-03;65.447
2020-03-02;66.8429
2020-02-28;67.5054
2020-02-27;66.2643
2020-02-26;65.0519
2020-02-25;65.4105
2020-02-21;64.1742
2020-02-20;64.1013
2020-02-19;63.6257
2020-02-18;63.8977
2020-02-17;63.4852
2020-02-14;63.5606
2020-02-13;63.4747
2020-02-12;63.154
2020-02-11;63.3818
2020-02-10;64.1459
2020-02-07;64.0663
2020-02-06;63.3695
2020-02-05;62.869
2020-02-04;63.0698
2020-02-03;63.595
2020-01-31;63.8869
2020-01-30;63.4015
2020-01-29;62.7534
2020-01-28;62.376
2020-01-27;63.0323
2020-01-24;61.952
2020-01-23;61.9974
2020-01-22;62.0058
2020-01-21;61.8591
2020-01-20;61.6025
2020-01-17;61.4921
2020-01-16;61.672
2020-01-15;61.5899
2020-01-14;61.431
2020-01-13;61.2974
2020-01-10;60.9419
2020-01-09;61.3246
2020-01-08;61.6545
2020-01-06;61.843
2020-01-03;61.9571
2019-12-30;61.9473
2019-12-27;62.0219
2019-12-26;62.2236
2019-12-25;61.8335
2019-12-24;61.9749
2019-12-23;62.2618
2019-12-20;62.3509
2019-12-19;62.3702
2019-12-18;62.5678
2019-12-17;62.4263
2019-12-16;62.4196
2019-12-13;62.874
2019-12-12;62.7716
2019-12-11;63.6096
2019-12-10;63.5232
2019-12-09;63.6842
2019-12-06;63.7022
2019-12-05;63.8528
2019-12-04;63.899
2019-12-03;64.2376
2019-12-02;64.2258
2019-11-29;64.2847
2019-11-28;64.0816
2019-11-27;64.0293
2019-11-26;64.0695
2019-11-25;64.0018
2019-11-22;63.8017
2019-11-21;63.7213
2019-11-20;63.867
2019-11-19;63.8378
2019-11-18;63.8436
2019-11-15;63.7861
2019-11-14;64.0672
2019-11-13;64.2791
2019-11-12;64.1447
2019-11-11;63.8623
2019-11-08;63.795
2019-11-07;63.7349
2019-11-06;63.8195
2019-11-05;63.6201
2019-11-01;63.4266
2019-10-31;64.0699
2019-10-30;64.0461
2019-10-29;63.8533
2019-10-28;63.7421
2019-10-25;63.6918
2019-10-24;64.1142
2019-10-23;63.8332
2019-10-22;63.6145
2019-10-21;63.7168
2019-10-18;63.9894
2019-10-17;63.9739
2019-10-16;64.1611
2019-10-15;64.2634
2019-10-14;64.3206
2019-10-11;64.1608
2019-10-10;64.4168
2019-10-09;64.871
2019-10-08;65.2978
2019-10-07;64.8827
2019-10-04;64.6675
2019-10-03;65.2565
2019-10-02;65.2076
2019-10-01;65.3761
2019-09-30;64.8788
2019-09-27;64.4663
2019-09-26;64.2446
2019-09-25;64.2205
2019-09-24;63.8606
2019-09-23;63.8867
2019-09-20;63.9568
2019-09-19;63.888
2019-09-18;64.2417
2019-09-17;64.3238
2019-09-16;63.955
2019-09-13;64.2443
2019-09-12;64.8073
2019-09-11;65.5088
2019-09-10;65.3397
2019-09-09;65.5042
2019-09-06;65.7426
2019-09-05;66.0939
2019-09-04;66.1248
2019-09-03;67.0457
2019-09-02;66.7236
2019-08-30;66.741
2019-08-29;66.5435
2019-08-28;66.5829
2019-08-27;66.5625
2019-08-26;66.0284
2019-08-23;66.08
2019-08-22;65.7025
2019-08-21;65.799
2019-08-20;66.583
2019-08-19;66.8683
2019-08-16;66.4493
2019-08-15;66.1626
2019-08-14;65.947
2019-08-13;65.0535
2019-08-12;65.4797
2019-08-09;65.466
2019-08-08;65.157
2019-08-07;65.5823
2019-08-06;65.3007
2019-08-05;65.082
2019-08-02;65.1608
2019-08-01;63.8614
2019-07-31;63.4543
2019-07-30;63.6775
2019-07-29;63.4945
2019-07-26;63.45
2019-07-25;63.1726
2019-07-24;63.0906
2019-07-23;63.2408
2019-07-22;63.0491
2019-07-19;62.9855
2019-07-18;63.076
2019-07-17;62.7735
2019-07-16;62.8154
2019-07-15;62.6273
2019-07-12;63.0461
2019-07-11;62.822
2019-07-10;63.1717
2019-07-09;63.7482
2019-07-08;63.532
2019-07-05;63.8566
2019-07-04;63.4444
2019-07-03;63.4744
2019-07-02;63.3036
2019-07-01;62.9637
2019-06-28;63.1141
2019-06-27;63.0843
2019-06-26;63.0471
2019-06-25;62.8268
2019-06-24;62.7437
2019-06-21;63.2605
2019-06-20;62.9542
2019-06-19;63.8572
2019-06-18;64.0063
2019-06-17;64.238
2019-06-14;64.3476
2019-06-13;64.5108
2019-06-11;64.5309
2019-06-10;64.683
2019-06-07;64.8506
2019-06-06;65.1177
2019-06-05;65.3041
2019-06-04;65.2016
2019-06-03;65.3872
2019-05-31;65.2353
2019-05-30;65.1219
2019-05-29;65.2092
2019-05-28;64.6768
2019-05-27;64.3911
2019-05-24;64.5071
2019-05-23;64.6785
2019-05-22;64.2991
2019-05-21;64.4398
2019-05-20;64.4893
2019-05-17;64.7144
2019-05-16;64.464
2019-05-15;64.5313
2019-05-14;65.0168
2019-05-13;65.4496
2019-05-10;65.27
2019-05-08;65.0057
2019-05-07;65.2792
2019-05-06;65.2446
2019-05-03;65.1284
2019-05-02;65.5263
2019-04-30;64.5824
2019-04-29;64.5079
2019-04-26;64.7653
2019-04-25;64.7483
2019-04-24;64.2779
2019-04-23;63.7948
2019-04-22;63.8334
2019-04-19;64.0601
2019-04-18;63.9089
2019-04-17;63.9315
2019-04-16;64.2323
2019-04-15;64.2963
2019-04-12;64.3327
2019-04-11;64.5503
2019-04-10;64.3423
2019-04-09;64.8597
2019-04-08;65.0304
2019-04-05;65.2994
2019-04-04;65.4737
2019-04-03;65.1559
2019-04-02;65.4745
2019-04-01;65.4085
2019-03-29;65.6568
2019-03-28;65.0338
2019-03-27;64.9098
2019-03-26;64.3545
2019-03-25;64.0535
2019-03-22;64.715
2019-03-21;63.8304
2019-03-20;64.3329
2019-03-19;64.3915
2019-03-18;64.4841
2019-03-15;65.1951
2019-03-14;65.5063
2019-03-13;65.4505
2019-03-12;65.7081
2019-03-11;66.0169
2019-03-07;66.1418
2019-03-06;65.9398
2019-03-05;65.8317
2019-03-04;65.7177
2019-03-01;65.7454
2019-02-28;65.886
2019-02-27;65.8778
2019-02-26;65.8528
2019-02-25;65.4028
2019-02-22;65.4186
2019-02-21;65.47
2019-02-20;65.6159
2019-02-19;65.991
2019-02-18;66.1715
2019-02-15;66.6203
2019-02-14;67.0418
2019-02-13;65.7607
2019-02-12;65.6578
2019-02-11;65.8249
2019-02-08;65.7226
2019-02-07;65.8815
2019-02-06;65.8043
2019-02-05;65.5873
2019-02-04;65.6372
2019-02-01;65.5856
2019-01-31;65.3962
2019-01-30;65.9968
2019-01-29;66.061
2019-01-28;66.1838
2019-01-25;66.0223
2019-01-24;65.8256
2019-01-23;66.1495
2019-01-22;66.4824
2019-01-21;66.3953
2019-01-18;66.2386
2019-01-17;66.6395
2019-01-16;66.5183
2019-01-15;66.9418
2019-01-14;67.009
2019-01-11;67.0339
2019-01-10;67.1275
2019-01-09;66.9748
2019-01-08;67.0412
2019-01-04;67.8064
2019-01-03;68.8594
2018-12-29;69.8395
2018-12-28;69.6895
2018-12-27;69.402
2018-12-26;69.062
2018-12-25;68.8148
2018-12-24;68.3649
2018-12-21;68.6436
2018-12-20;68.4105
2018-12-19;67.5685
2018-12-18;66.9401
2018-12-17;66.7463
2018-12-14;66.7484
2018-12-13;66.3461
2018-12-12;66.3282
2018-12-11;66.4701
2018-12-10;66.4371
2018-12-07;66.144
2018-12-06;67.0093
2018-12-05;66.8169
2018-12-04;66.5917
2018-12-03;66.6295
2018-11-30;66.9269
2018-11-29;66.2049
2018-11-28;67.367
2018-11-27;67.0631
2018-11-26;67.077
2018-11-23;66.2845
2018-11-22;65.5713
2018-11-21;65.886
2018-11-20;66.0478
2018-11-19;65.8437
2018-11-16;65.8579
2018-11-15;66.3238
2018-11-14;67.0663
2018-11-13;68.0113
2018-11-12;67.6478
2018-11-09;67.5194
2018-11-08;66.4965
2018-11-07;66.1649
2018-11-06;66.0158
2018-11-02;66.0121
2018-11-01;65.6933
2018-10-31;65.8098
2018-10-30;65.55
2018-10-29;65.6049
2018-10-26;65.7752
2018-10-25;65.5403
2018-10-24;65.4214
2018-10-23;65.6213
2018-10-22;65.1325
2018-10-19;65.544
2018-10-18;65.7197
2018-10-17;65.33
2018-10-16;65.315
2018-10-15;65.6308
2018-10-12;66.3249
2018-10-11;66.3198
2018-10-10;66.6135
2018-10-09;66.3979
2018-10-08;66.7515
2018-10-05;66.5975
2018-10-04;66.8994
2018-10-03;65.6871
2018-10-02;65.3098
2018-10-01;65.3756
2018-09-28;65.4168
2018-09-27;65.6247
2018-09-26;65.8736
2018-09-25;65.8646
2018-09-24;65.8229
2018-09-21;66.5051
2018-09-20;66.3074
2018-09-19;66.7882
2018-09-18;67.395
2018-09-17;68.011
2018-09-14;67.9192
2018-09-13;68.4718
2018-09-12;68.8261
2018-09-11;69.6693
2018-09-10;70.5195
2018-09-07;69.6254
2018-09-06;69.3362
2018-09-05;68.4145
2018-09-04;68.0098
2018-09-03;68.1048
2018-08-31;67.6556
2018-08-30;68.2713
2018-08-29;68.185
2018-08-28;67.6703
2018-08-27;67.2079
2018-08-24;67.4683
2018-08-23;68.1963
2018-08-22;67.9243
2018-08-21;67.3391
2018-08-20;67.1979
2018-08-17;67.4823
2018-08-16;66.7876
2018-08-15;67.681
2018-08-14;66.4964
2018-08-13;67.9418
2018-08-10;67.8088
2018-08-09;66.3037
2018-08-08;64.8555
2018-08-07;63.4951
2018-08-06;63.6337
2018-08-03;63.2197
2018-08-02;63.3698
2018-08-01;62.8684
2018-07-31;62.3324
2018-07-30;62.2149
2018-07-27;62.7101
2018-07-26;62.881
2018-07-25;62.9886
2018-07-24;62.7479
2018-07-23;63.0437
2018-07-20;63.531
2018-07-19;63.5812
2018-07-18;63.151
2018-07-17;62.4811
2018-07-16;62.2813
2018-07-13;62.1495
2018-07-12;62.1231
2018-07-11;62.0332
2018-07-10;61.9647
2018-07-09;62.657
2018-07-06;62.9627
2018-07-05;63.1005
2018-07-04;63.2513
2018-07-03;63.1885
2018-07-02;63.4416
2018-06-29;62.6669
2018-06-28;63.0045
2018-06-27;63.1143
2018-06-26;63.1125
2018-06-25;62.8971
2018-06-22;62.9723
2018-06-21;63.695
2018-06-20;63.507
2018-06-19;63.7967
2018-06-18;63.6137
2018-06-15;63.1015
2018-06-14;62.2185
2018-06-13;62.3341
2018-06-11;62.665
2018-06-09;62.542
2018-06-08;62.5117
2018-06-07;62.295
2018-06-06;61.9343
2018-06-05;62.2711
2018-06-04;62.0455
2018-06-01;62.1005
2018-05-31;62.3795
2018-05-30;62.2373
2018-05-29;62.6825
2018-05-28;62.3797
2018-05-25;62.1078
2018-05-24;61.575
2018-05-23;61.5602
2018-05-22;60.9809
2018-05-21;61.6538
2018-05-18;62.4852
2018-05-17;61.9457
2018-05-16;61.9148
2018-05-15;62.457
2018-05-14;61.7603
2018-05-11;61.8776
2018-05-10;61.7671
2018-05-08;63.4934
2018-05-07;62.7155
2018-05-04;62.9013
2018-05-03;63.4965
2018-05-02;63.9273
2018-04-30;62.98
2018-04-28;62.1687
2018-04-27;62.1204
2018-04-26;62.7936
2018-04-25;62.402
2018-04-24;61.5332
2018-04-23;61.9492
2018-04-20;61.3839
2018-04-19;60.9117
2018-04-18;61.1594
2018-04-17;61.5503
2018-04-16;62.2309
2018-04-13;62.0383
2018-04-12;61.8805
2018-04-11;63.7339
2018-04-10;62.7784
2018-04-09;60.1535
2018-04-06;58.1197
2018-04-05;57.7093
2018-04-04;57.5392
2018-04-03;57.65
2018-04-02;57.6058
2018-03-30;57.2599
2018-03-29;57.4631
2018-03-28;57.7563
2018-03-27;57.2942
2018-03-26;57.3469
2018-03-23;57.0769
2018-03-22;57.1983
2018-03-21;57.2797
2018-03-20;57.4659
2018-03-19;57.9073
2018-03-16;57.63
2018-03-15;57.3955
2018-03-14;57.2854
2018-03-13;56.825
2018-03-12;56.9075
2018-03-09;56.6485
2018-03-07;56.8261
2018-03-06;56.6239
2018-03-05;56.8618
2018-03-02;57.1513
2018-03-01;56.8119
2018-02-28;56.2861
2018-02-27;56.2803
2018-02-26;55.9628
2018-02-22;56.583
2018-02-21;56.6108
2018-02-20;56.547
2018-02-19;56.4214
2018-02-16;56.2398
2018-02-15;56.5381
2018-02-14;57.1396
2018-02-13;57.7868
2018-02-12;57.9817
2018-02-09;58.3693
2018-02-08;57.9528
2018-02-07;57.1622
2018-02-06;57.1994
2018-02-05;56.7556
2018-02-02;56.4783
2018-02-01;56.0946
2018-01-31;56.2555
2018-01-30;56.3449
2018-01-29;56.4134
2018-01-26;56.1947
2018-01-25;55.7395
2018-01-24;56.2361
2018-01-23;56.4146
2018-01-22;56.5818
2018-01-19;56.671
2018-01-18;56.5748
2018-01-17;56.7396
2018-01-16;56.4024
2018-01-15;56.35
2018-01-12;56.5153
2018-01-11;56.6713
2018-01-10;56.9568
2018-01-09;57.035
2018-01-05;57.0035
2018-01-04;57.0176
2018-01-03;57.3287
2017-12-29;57.5708
2017-12-28;57.5758
2017-12-27;57.7488
2017-12-26;57.6968
2017-12-25;57.97
2017-12-22;58.3315
2017-12-21;58.5162
2017-12-20;58.6613
2017-12-19;58.8115
2017-12-18;58.5793
2017-12-15;58.8195
2017-12-14;58.7915
2017-12-13;58.8358
2017-12-12;59.196
2017-12-11;59.1477
2017-12-08;59.2313
2017-12-07;59.1812
2017-12-06;59.1441
2017-12-05;58.7047
2017-12-04;58.8837
2017-12-01;58.5383
2017-11-30;58.4805
2017-11-29;58.456
2017-11-28;58.4021
2017-11-27;58.2472
2017-11-24;58.3845
2017-11-23;58.4182
2017-11-22;58.7085
2017-11-21;59.1775
2017-11-20;59.4583
2017-11-17;59.305
2017-11-16;59.6378
2017-11-15;60.1456
2017-11-14;60.0423
2017-11-13;59.441
2017-11-10;59.0766
2017-11-09;59.2297
2017-11-08;59.2333
2017-11-07;59.2026
2017-11-03;59.0965
2017-11-02;58.3782
2017-11-01;58.2464
2017-10-31;58.4061
2017-10-30;57.88
2017-10-27;58.2598
2017-10-26;57.6605
2017-10-25;57.7423
2017-10-24;57.6302
2017-10-23;57.48
2017-10-20;57.532
2017-10-19;57.3454
2017-10-18;57.4828
2017-10-17;57.4909
2017-10-16;57.2901
2017-10-13;57.1619
2017-10-12;57.6905
2017-10-11;57.8913
2017-10-10;57.93
2017-10-09;58.3143
2017-10-06;58.1515
2017-10-05;57.5031
2017-10-04;57.5416
2017-10-03;57.9024
2017-10-02;57.9343
2017-09-29;57.5643
2017-09-28;57.9813
2017-09-27;58.1749
2017-09-26;57.8795
2017-09-25;57.655
2017-09-22;57.5397
2017-09-21;57.9416
2017-09-20;57.7471
2017-09-19;58.2188
2017-09-18;57.9603
2017-09-15;57.5913
2017-09-14;57.432
2017-09-13;57.8618
2017-09-12;57.6901
2017-09-11;57.151
2017-09-08;57.1953
2017-09-07;57.0117
2017-09-06;57.3454
2017-09-05;57.3485
2017-09-04;57.8012
2017-09-01;57.5609
2017-08-31;58.1331
2017-08-30;58.3583
2017-08-29;58.6953
2017-08-28;58.5726
2017-08-25;58.7906
2017-08-24;59.2115
2017-08-23;59.0434
2017-08-22;59.0198
2017-08-21;59.0169
2017-08-18;59.1735
2017-08-17;59.1481
2017-08-16;59.4361
2017-08-15;59.7964
2017-08-14;59.6285
2017-08-11;59.9235
2017-08-10;59.9963
2017-08-09;60.1415
2017-08-08;59.7668
2017-08-07;60.1066
2017-08-04;59.9371
2017-08-03;60.1418
2017-08-02;60.6187
2017-08-01;60.2605
2017-07-31;60.0408
2017-07-28;59.5225
2017-07-27;59.436
