Date,dollar_30d_return,wti_30d_return
2010-04-06,-0.023641142361469775,0.07808022508120598
2010-04-07,-0.023699684653879498,0.08565354591581702
2010-04-08,-0.021668796247647847,0.06575251748803568
2010-04-09,-0.024116834905683993,0.0813536532697709
2010-04-12,-0.031291121146436555,0.053129289802611446
2010-04-13,-0.031093749650380444,0.06266279533367862
2010-04-14,-0.031741687428129786,0.072653583144629
2010-04-15,-0.02767314069920572,0.052250690343877894
2010-04-16,-0.025255215626641358,0.03383090129736089
2010-04-19,-0.020196746987217053,0.0002453686676522144
2010-04-20,-0.023929120105350976,0.013711311087578119
2010-04-21,-0.015291297110614967,0.015583466073769363
2010-04-22,-0.007884788598855589,0.009941885961814615
2010-04-23,-0.0017358090048544559,0.02691823186003145
2010-04-26,-0.011097050692112673,0.03554103068870035
2010-04-27,-0.006108474832351515,0.03255126500494661
2010-04-28,0.004762500277273026,0.01782189377743248
2010-04-29,-0.00029765927129018344,0.026652380689877006
2010-04-30,-0.0038994672258912426,0.04649235304108027
2010-05-04,-0.002942352350376834,0.017928402642510725
2010-05-05,0.017910846359409795,-0.02078253918252862
2010-05-06,0.027228095195829832,-0.039504724087119907
2010-05-07,0.03201295785630111,-0.06632620324003621
2010-05-11,0.019923508121668976,-0.0701532123909049
2010-05-12,0.012712142381503842,-0.0823076682940475
2010-05-13,0.01844556210568543,-0.11506056161092018
2010-05-14,0.02480075608546784,-0.16587177192198785
2010-05-17,0.03952695732763736,-0.20888715901847063
2010-05-18,0.03466639038404811,-0.22100809325513524
2010-05-19,0.05292996156793224,-0.2029437631975883
2010-05-20,0.06667533383537061,-0.22103236122674963
2010-05-21,0.0619558319071673,-0.21798548225520817
2010-05-24,0.05273348231888878,-0.20876543431987313
2010-05-25,0.07773887754529475,-0.25743609374485404
2010-05-26,0.071542222366155,-0.1799417698515415
2010-05-27,0.059307652333851026,-0.1339839457862904
2010-05-28,0.0565359912033373,-0.11441400347202416
2010-06-01,0.06594624427339345,-0.11450700437499559
2010-06-02,0.06719059455366946,-0.12978536195301904
2010-06-03,0.06461821542945069,-0.10377791852757456
2010-06-04,0.07614700952255184,-0.1487964784365537
2010-06-07,0.0816516025596474,-0.16445974231595398
2010-06-08,0.0856239247236306,-0.1581968593329229
2010-06-09,0.0827172838312485,-0.10276235982821236
2010-06-10,0.07893839572073728,-0.09761998305444569
2010-06-11,0.0755524195968492,-0.1420717583524333
2010-06-15,0.07011940404417022,-0.11482882375895186
2010-06-16,0.06816953250160594,-0.06311321077053561
2010-06-17,0.04694545481028117,-0.04056161175612294
2010-06-18,0.03190284201904606,0.0
2010-06-21,0.010080078556471308,0.0358348791076606
2010-06-22,0.00971839481988549,0.0033757497650803874
2010-06-23,0.027622404757011106,-0.006173264498708463
2010-06-24,0.03762568016578855,0.004089445709719947
2010-06-25,0.035784980280175877,0.05327439068211778
2010-06-28,0.026306124790536362,0.08880188776341812
2010-06-29,0.02354648725344605,0.08017441659700644
2010-06-30,0.03268310436276549,0.0857253577624819
2010-07-01,0.01397175170681654,0.04256557444490093
2010-07-02,-0.0091574764253271,0.0538822073937073
2010-07-06,0.0001417014481682386,0.05616162472536288
2010-07-07,-0.01710500887505148,0.08185618988647538
2010-07-08,-0.010609264139696217,0.1526058007929811
2010-07-09,0.0026447496423094605,0.061808287371876235
2010-07-12,0.00470220047117756,0.004950173998883607
2010-07-13,-0.0048505801180198805,0.04181609483335858
2010-07-14,-0.0134012368771095,0.0577237438472891
2010-07-15,-0.025201197473937433,0.05069624461910034
2010-07-16,-0.018726603063836444,0.017798318151073248
2010-07-19,-0.028767469044315683,0.06896487165494845
2010-07-20,-0.03879241946334752,0.0775561483376701
2010-07-21,-0.04500728293297979,0.059281614260788866
2010-07-22,-0.03865160928177784,0.06038733823771807
2010-07-23,-0.038892947858665004,0.04152127302050894
2010-07-26,-0.04066732554418967,0.06598388291975495
2010-07-27,-0.03717803652737355,0.03240690277330814
2010-07-28,-0.03162539985128679,0.0028590012976557047
2010-07-29,-0.02554670236163948,0.008078520565201476
2010-07-30,-0.023662002462676492,0.026082290491288667
2010-08-02,-0.025179984907072343,0.05139046510037403
2010-08-03,-0.03790635491518631,0.05838525032530146
2010-08-04,-0.042655367597412626,0.06692549506347036
2010-08-05,-0.040524848393581725,0.07730256286266872
2010-08-06,-0.04288673404393243,0.06015987300479795
2010-08-09,-0.03530218649832993,0.03765062304122485
2010-08-10,-0.037605777430070486,0.024985526871413522
2010-08-11,-0.028188788873380916,0.028050144449441285
2010-08-12,-0.01939137758250259,0.0011899254395375948
2010-08-13,-0.01798097259780413,0.03290036525481574
2010-08-16,-0.02230867738349538,0.042253109869430434
2010-08-17,-0.020844730763895213,0.05146003979549069
2010-08-18,-0.02145600451250773,0.017934099509802657
2010-08-19,-0.013012169692372594,-0.013474955406146284
2010-08-20,-0.007149767255440282,-0.03518051561724845
2010-08-23,-0.004976227595052999,-0.030075417714254104
2010-08-24,0.002213925874665493,-0.0798267296160674
2010-08-25,0.012036559856597151,-0.06642725945041322
2010-08-26,0.010335629362667503,-0.04413166962259369
2010-08-27,0.00781881175235881,-0.010454670754707483
2010-08-30,0.00453791104075081,-0.024336606452854515
2010-08-31,0.008764515341466514,-0.07225923046086515
2010-09-01,0.008426726820737312,-0.030620070576370846
2010-09-02,0.009094957119972885,-0.05221965542134405
2010-09-03,0.00946327618448434,-0.054321447787470716
2010-09-07,0.020553876016372256,-0.0647665973160032
2010-09-08,0.02090745961516809,-0.036951150101406566
2010-09-09,0.02200823937243881,-0.037146561515202514
